-1.560000e+00 4.404246162125660e+01 3.185036447305733e+02 1.232387765419775e-05 -4.522526848855982e-04 1.107718418483871e-04 1.707799534169868e-03
-1.561000e+00 4.404162659971343e+01 3.142292671578188e+02 1.204429836384207e-05 -4.486322505212477e-04 1.083506194895968e-04 1.694434302661571e-03
-1.562000e+00 4.404080620079176e+01 3.100309896422715e+02 1.177121346306218e-05 -4.450287307620083e-04 1.059836137292936e-04 1.681127743991044e-03
-1.563000e+00 4.404000011997085e+01 3.059072328220163e+02 1.150446310979008e-05 -4.414421910479002e-04 1.036695824775113e-04 1.667880407976638e-03
-1.564000e+00 4.403920805876501e+01 3.018564461026209e+02 1.124401630720840e-05 -4.378726707696335e-04 1.014074256044880e-04 1.654700375728173e-03
-1.565000e+00 4.403842972469083e+01 2.978771201200666e+02 1.098934607230557e-05 -4.343202860364730e-04 9.919559867388533e-05 1.641565630539747e-03
-1.566000e+00 4.403766483123307e+01 2.939677613600540e+02 1.074067891354022e-05 -4.307850250716286e-04 9.703328543343674e-05 1.628499314179522e-03
-1.567000e+00 4.403691309781011e+01 2.901269172519687e+02 1.049774522114224e-05 -4.272669533976895e-04 9.491922521897519e-05 1.615494469441549e-03
-1.568000e+00 4.403617424972047e+01 2.863531633057801e+02 1.026040397111689e-05 -4.237661116507889e-04 9.285229908214117e-05 1.602551667709084e-03
-1.569000e+00 4.403544801808936e+01 2.826316904910184e+02 1.002851769858854e-05 -4.202825363218053e-04 9.082672439039427e-05 1.589632830196061e-03
-1.570000e+00 4.403473413979615e+01 2.789880317908284e+02 9.802073923368038e-06 -4.168162430713177e-04 8.885098591112908e-05 1.576828950674319e-03
-1.571000e+00 4.403403235740912e+01 2.754073815484140e+02 9.580577596927022e-06 -4.133673115590173e-04 8.691894068888041e-05 1.564063147639512e-03
-1.572000e+00 4.403334241910736e+01 2.718884281717714e+02 9.364265988629224e-06 -4.099357164395839e-04 8.502991151356923e-05 1.551374557603115e-03
-1.573000e+00 4.403266407860441e+01 2.684298970046988e+02 9.153013201350686e-06 -4.065214813661435e-04 8.318289758208229e-05 1.538761829686512e-03
-1.574000e+00 4.403199709505706e+01 2.650305440625838e+02 8.946458707814207e-06 -4.031246566699844e-04 8.137669316957576e-05 1.526203114824860e-03
-1.575000e+00 4.403134123298613e+01 2.616891505332563e+02 8.744486900752228e-06 -3.997452570701100e-04 7.961034558613094e-05 1.513700694861058e-03
-1.576000e+00 4.403069626218128e+01 2.584045202821616e+02 8.547337752235154e-06 -3.963832524837988e-04 7.788326240529686e-05 1.501284581185563e-03
-1.577000e+00 4.403006195761130e+01 2.551754952314100e+02 8.354428317190250e-06 -3.930387107673852e-04 7.619408178340308e-05 1.488917045174446e-03
-1.578000e+00 4.402943809933022e+01 2.520009343813270e+02 8.166002348585926e-06 -3.897115980951295e-04 7.454225349928099e-05 1.476626579992076e-03
-1.579000e+00 4.402882447238192e+01 2.488797286113168e+02 7.981836481863163e-06 -3.864019345162518e-04 7.292679757785498e-05 1.464404416830430e-03
-1.580000e+00 4.402822086670443e+01 2.458107930171465e+02 7.801827600296498e-06 -3.831097238423851e-04 7.134686743087971e-05 1.452251094113819e-03
-1.581000e+00 4.402762707703276e+01 2.427930687259974e+02 7.625875277266195e-06 -3.798349678164091e-04 6.980163702258832e-05 1.440167142749519e-03
-1.582000e+00 4.402704290280550e+01 2.398255214516014e+02 7.453881708130122e-06 -3.765776662255424e-04 6.829030015563564e-05 1.428153071939131e-03
-1.583000e+00 4.402646814806166e+01 2.369071413567345e+02 7.285751642346322e-06 -3.733378170079745e-04 6.681207017555474e-05 1.416209406023896e-03
-1.584000e+00 4.402590262134706e+01 2.340369428755962e+02 7.121392316603635e-06 -3.701154163525868e-04 6.536617965479528e-05 1.404336623714687e-03
-1.585000e+00 4.402534613562231e+01 2.312139642074863e+02 6.960713390335338e-06 -3.669104587928307e-04 6.395187997169703e-05 1.392535219420272e-03
-1.586000e+00 4.402479850816087e+01 2.284372525691667e+02 6.803626880996873e-06 -3.637229372946525e-04 6.256843662322130e-05 1.380805748382826e-03
-1.587000e+00 4.402425956045501e+01 2.257059197786242e+02 6.650047101723730e-06 -3.605528433391701e-04 6.121514565277364e-05 1.369148498022504e-03
-1.588000e+00 4.402372911812475e+01 2.230190570577013e+02 6.499890599695394e-06 -3.574001670001470e-04 5.989130774618327e-05 1.357563981805106e-03
-1.589000e+00 4.402320701082196e+01 2.203757888654800e+02 6.353076096071978e-06 -3.542648970167104e-04 5.859624424221965e-05 1.346052762679601e-03
-1.590000e+00 4.402269307213999e+01 2.177752715568308e+02 6.209524427394759e-06 -3.511470208614458e-04 5.732929631559897e-05 1.334614833727354e-03
-1.591000e+00 4.402218713952180e+01 2.152166684662893e+02 6.069158487713448e-06 -3.480465248044984e-04 5.608981745117469e-05 1.323250935995072e-03
-1.592000e+00 4.402168905417055e+01 2.126991727477032e+02 5.931903173362534e-06 -3.449633939732829e-04 5.487717982948567e-05 1.311961357011489e-03
-1.593000e+00 4.402119866096239e+01 2.102219938752896e+02 5.797685327003399e-06 -3.418976124090202e-04 5.369077015641376e-05 1.300746490346263e-03
-1.594000e+00 4.402071580835918e+01 2.077843619660613e+02 5.666433685650719e-06 -3.388491631190438e-04 5.252999065183317e-05 1.289606605731964e-03
-1.595000e+00 4.402024034832325e+01 2.053855251591907e+02 5.538181688699313e-06 -3.358180200669538e-04 5.139435883550285e-05 1.278546905738581e-03
