-1.560000e+00 -1.277120133630625e+02 6.307961800444834e+01
-1.561000e+00 -1.260125156854151e+02 6.220423578698860e+01
-1.562000e+00 -1.243434031543729e+02 6.134418333352569e+01
-1.563000e+00 -1.227040457088391e+02 6.049914140433810e+01
-1.564000e+00 -1.210938257747804e+02 5.966879455306004e+01
-1.565000e+00 -1.195121381988413e+02 5.885284372238406e+01
-1.566000e+00 -1.179583901923320e+02 5.805098097538997e+01
-1.567000e+00 -1.164320012823638e+02 5.726291468724108e+01
-1.568000e+00 -1.149324032154903e+02 5.648835687479954e+01
-1.569000e+00 -1.134523324158107e+02 5.572702565939706e+01
-1.570000e+00 -1.120046942094913e+02 5.497864337184577e+01
-1.571000e+00 -1.105822179671563e+02 5.424294561410147e+01
-1.572000e+00 -1.091843826317071e+02 5.351966290835723e+01
-1.573000e+00 -1.078106798387077e+02 5.280853732728335e+01
-1.574000e+00 -1.064606122415737e+02 5.210931957943641e+01
-1.575000e+00 -1.051336939883046e+02 5.142176255664710e+01
-1.576000e+00 -1.038294497827803e+02 5.074562071660100e+01
-1.577000e+00 -1.025474158112478e+02 5.008066360891436e+01
-1.578000e+00 -1.012871388569275e+02 4.942665666747203e+01
-1.579000e+00 -1.000481763702465e+02 4.878337587082375e+01
-1.580000e+00 -9.883009600856586e+01 4.815060100001473e+01
-1.581000e+00 -9.763247593014913e+01 4.752811686569910e+01
-1.582000e+00 -9.645490412248367e+01 4.691571320663406e+01
-1.583000e+00 -9.529697838432766e+01 4.631318458807917e+01
-1.584000e+00 -9.415830628759790e+01 4.572033030040044e+01
-1.585000e+00 -9.303850497470046e+01 4.513695425808539e+01
-1.586000e+00 -9.193719383491356e+01 4.456286489933958e+01
-1.587000e+00 -9.085402234606978e+01 4.399787508648467e+01
-1.588000e+00 -8.978862752522093e+01 4.344180200725940e+01
-1.589000e+00 -8.874066089413307e+01 4.289446707721382e+01
-1.590000e+00 -8.770978785678959e+01 4.235569584325165e+01
-1.591000e+00 -8.669567528890903e+01 4.182531788847125e+01
-1.592000e+00 -8.569800300467250e+01 4.130316673835824e+01
-1.593000e+00 -8.471645705342959e+01 4.078907976843042e+01
-1.594000e+00 -8.375073192633469e+01 4.028289811339186e+01
-1.595000e+00 -8.280052953695217e+01 3.978446608528638e+01
-1.596000e+00 -8.186555868129842e+01 3.929363354844376e+01
-1.597000e+00 -8.094553615505978e+01 3.881025090811401e+01
-1.598000e+00 -8.004018667080808e+01 3.833417395134555e+01
-1.599000e+00 -7.914924005499293e+01 3.786526130158364e+01
-1.600000e+00 -7.827243574644292e+01 3.740337483015450e+01
-1.601000e+00 -7.740951712648976e+01 3.694837957689126e+01
-1.602000e+00 -7.656023652181234e+01 3.650014367247871e+01
-1.603000e+00 -7.572435064266728e+01 3.605853826248588e+01
-1.604000e+00 -7.490162384208111e+01 3.562343743307397e+01
-1.605000e+00 -7.409182594152621e+01 3.519471813839402e+01
-1.606000e+00 -7.329473323273578e+01 3.477226012965976e+01
-1.607000e+00 -7.251012747255604e+01 3.435594588583919e+01
-1.608000e+00 -7.173779622503405e+01 3.394566054601431e+01
-1.609000e+00 -7.097753271101716e+01 3.354129184332623e+01
-1.610000e+00 -7.022913555405195e+01 3.314273004051830e+01
-1.611000e+00 -6.949240882226329e+01 3.274986786705423e+01
-1.612000e+00 -6.876716164788422e+01 3.236260025517126e+01
-1.613000e+00 -6.805320834324230e+01 3.198082510086196e+01
-1.614000e+00 -6.735036804085451e+01 3.160444214023679e+01
-1.615000e+00 -6.665846471217036e+01 3.123335282475654e+01
-1.616000e+00 -6.597732742533499e+01 3.086746203719279e+01
-1.617000e+00 -6.530678943147701e+01 3.050667555307801e+01
-1.618000e+00 -6.464668731068600e+01 3.015090190672050e+01
-1.619000e+00 -6.399686639270114e+01 2.980005147658255e+01
-1.620000e+00 -6.335717128944608e+01 2.945403647617659e+01
-1.621000e+00 -6.272745423590796e+01 2.911277156418022e+01
-1.622000e+00 -6.210756924657474e+01 2.877617247931435e+01
-1.623000e+00 -6.149737574572680e+01 2.844415731178557e+01
-1.624000e+00 -6.089673700910954e+01 2.811664579942887e+01
-1.625000e+00 -6.030551995390776e+01 2.779355941562672e+01
-1.626000e+00 -5.972359525939919e+01 2.747482132659947e+01
-1.627000e+00 -5.915083733085677e+01 2.716035634982119e+01
-1.628000e+00 -5.858712453550392e+01 2.685009091352612e+01
-1.629000e+00 -5.803233861410950e+01 2.654395301725755e+01
-1.630000e+00 -5.748636479576383e+01 2.624187211842414e+01
-1.631000e+00 -5.694909183898118e+01 2.594377947019763e+01
-1.632000e+00 -5.642041193087188e+01 2.564960733450466e+01
-1.633000e+00 -5.590022054145145e+01 2.535928963431459e+01
-1.634000e+00 -5.538841650270179e+01 2.507276185815299e+01
-1.635000e+00 -5.488490191097386e+01 2.478996047287603e+01
-1.636000e+00 -5.438958202117733e+01 2.451082351962225e+01
-1.637000e+00 -5.390236529909615e+01 2.423529026761452e+01
-1.638000e+00 -5.342316333696842e+01 2.396330124599030e+01
-1.639000e+00 -5.295189085933137e+01 2.369479817025878e+01
-1.640000e+00 -5.248846559217215e+01 2.342972412958111e+01
-1.641000e+00 -5.203280844024083e+01 2.316802312472327e+01
-1.642000e+00 -5.158484272485857e+01 2.290964047356405e+01
-1.643000e+00 -5.114449638056921e+01 2.265452253399603e+01
-1.644000e+00 -5.071169849706283e+01 2.240261688698977e+01
-1.645000e+00 -5.028638231292916e+01 2.215387197848093e+01
-1.646000e+00 -4.986848360496556e+01 2.190823742663516e+01
