0.95387536e-3 SECg 2
-2.627544669484960e-02 7.624160747855758e-01 4.196064658518642e+00 3.209667709317561e-01
-7.115565698852348e-02 0.000000000000000e+00 2.457642042989657e+00 -4.510769551091687e+00
