0.95387536e-3 SECg2 69
-9.963064882518214e-01 6.952605230801594e-01 -1.774119138746006e+00 6.817277408468938e-01
-4.470297157765519e-01 0.000000000000000e+00 2.820724586086756e-01 -1.525016608040562e+00
