0.95387536e-3 6
-1.723000e+00 -5.609516472048615e+00 5.714339795877219e-02
-1.722000e+00 -5.612328218695332e+00 5.716170035680732e-02
-1.721000e+00 -5.615134449697849e+00 5.717989197571064e-02
-1.720000e+00 -5.617935188028061e+00 5.719797359633681e-02
-1.719000e+00 -5.620730456500347e+00 5.721594599199658e-02
-1.718000e+00 -5.623520277773375e+00 5.723380992854413e-02
-1.717000e+00 -5.626304674352043e+00 5.725156616446073e-02
-1.716000e+00 -5.629083668589280e+00 5.726921545093851e-02
-1.715000e+00 -5.631857282687861e+00 5.728675853196261e-02
-1.714000e+00 -5.634625538702240e+00 5.730419614439099e-02
-1.713000e+00 -5.637388458540345e+00 5.732152901803485e-02
-1.712000e+00 -5.640146063965310e+00 5.733875787573644e-02
-1.711000e+00 -5.642898376597309e+00 5.735588343344492e-02
-1.710000e+00 -5.645645417915202e+00 5.737290640029386e-02
-1.709000e+00 -5.648387209258380e+00 5.738982747867329e-02
-1.708000e+00 -5.651123771828361e+00 5.740664736430520e-02
-1.707000e+00 -5.653855126690583e+00 5.742336674631425e-02
-1.706000e+00 -5.656581294776068e+00 5.743998630729821e-02
-1.705000e+00 -5.659302296883054e+00 5.745650672339913e-02
-1.704000e+00 -5.662018153678728e+00 5.747292866437023e-02
-1.703000e+00 -5.664728885700795e+00 5.748925279364502e-02
-1.702000e+00 -5.667434513359225e+00 5.750547976840162e-02
-1.701000e+00 -5.670135056937760e+00 5.752161023963002e-02
-1.700000e+00 -5.672830536595597e+00 5.753764485219515e-02
-1.699000e+00 -5.675520972369029e+00 5.755358424489928e-02
-1.698000e+00 -5.678206384172958e+00 5.756942905054577e-02
-1.697000e+00 -5.680886791802555e+00 5.758517989599817e-02
-1.696000e+00 -5.683562214934781e+00 5.760083740224204e-02
-1.695000e+00 -5.686232673130011e+00 5.761640218444230e-02
-1.694000e+00 -5.688898185833573e+00 5.763187485200151e-02
-1.693000e+00 -5.691558772377308e+00 5.764725600861718e-02
-1.692000e+00 -5.694214451981097e+00 5.766254625233790e-02
-1.691000e+00 -5.696865243754438e+00 5.767774617561729e-02
-1.690000e+00 -5.699511166697993e+00 5.769285636536843e-02
-1.689000e+00 -5.702152239705062e+00 5.770787740301723e-02
-1.688000e+00 -5.704788481563172e+00 5.772280986455423e-02
-1.687000e+00 -5.707419910955551e+00 5.773765432058534e-02
-1.686000e+00 -5.710046546462676e+00 5.775241133638242e-02
-1.685000e+00 -5.712668406563805e+00 5.776708147193216e-02
-1.684000e+00 -5.715285509638421e+00 5.778166528198519e-02
-1.683000e+00 -5.717897873967844e+00 5.779616331610225e-02
-1.682000e+00 -5.720505517736630e+00 5.781057611870145e-02
-1.681000e+00 -5.723108459034180e+00 5.782490422910383e-02
-1.680000e+00 -5.725706715856157e+00 5.783914818157796e-02
-1.679000e+00 -5.728300306106082e+00 5.785330850538303e-02
-1.678000e+00 -5.730889247596767e+00 5.786738572481293e-02
-1.677000e+00 -5.733473558051865e+00 5.788138035923729e-02
-1.676000e+00 -5.736053255107354e+00 5.789529292314332e-02
-1.675000e+00 -5.738628356313080e+00 5.790912392617542e-02
-1.674000e+00 -5.741198879134252e+00 5.792287387317461e-02
-1.673000e+00 -5.743764840952966e+00 5.793654326421774e-02
-1.672000e+00 -5.746326259069734e+00 5.795013259465375e-02
-1.671000e+00 -5.748883150704999e+00 5.796364235514202e-02
-1.670000e+00 -5.751435533000677e+00 5.797707303168707e-02
-1.669000e+00 -5.753983423021720e+00 5.799042510567343e-02
-1.668000e+00 -5.756526837757616e+00 5.800369905390113e-02
-1.667000e+00 -5.759065794123988e+00 5.801689534861728e-02
-1.666000e+00 -5.761600308964118e+00 5.803001445754982e-02
-1.665000e+00 -5.764130399050559e+00 5.804305684393810e-02
-1.664000e+00 -5.766656081086676e+00 5.805602296656421e-02
-1.663000e+00 -5.769177371708279e+00 5.806891327978216e-02
-1.662000e+00 -5.771694287485211e+00 5.808172823354683e-02
-1.661000e+00 -5.774206844922950e+00 5.809446827344259e-02
-1.660000e+00 -5.776715060464266e+00 5.810713384070978e-02
-1.659000e+00 -5.779218950490833e+00 5.811972537227101e-02
-1.658000e+00 -5.781718531324926e+00 5.813224330075688e-02
-1.657000e+00 -5.784213819231051e+00 5.814468805453006e-02
-1.656000e+00 -5.786704830417715e+00 5.815706005770849e-02
-1.655000e+00 -5.789191581039001e+00 5.816935973018918e-02
-1.654000e+00 -5.791674087196465e+00 5.818158748766807e-02
-1.653000e+00 -5.794152364940748e+00 5.819374374166259e-02
-1.652000e+00 -5.796626430273411e+00 5.820582889953027e-02
-1.651000e+00 -5.799096299148704e+00 5.821784336448841e-02
-1.650000e+00 -5.801561987475403e+00 5.822978753563093e-02
-1.649000e+00 -5.804023511118635e+00 5.824166180794627e-02
-1.648000e+00 -5.806480885901743e+00 5.825346657233280e-02
-1.647000e+00 -5.808934127608193e+00 5.826520221561417e-02
-1.646000e+00 -5.811383251983434e+00 5.827686912055322e-02
-1.645000e+00 -5.813828274736960e+00 5.828846766586419e-02
-1.644000e+00 -5.816269211544207e+00 5.829999822622506e-02
-1.643000e+00 -5.818706078048557e+00 5.831146117228899e-02
-1.642000e+00 -5.821138889863451e+00 5.832285687069336e-02
-1.641000e+00 -5.823567662574429e+00 5.833418568406821e-02
-1.640000e+00 -5.825992411741248e+00 5.834544797104424e-02
-1.639000e+00 -5.828413152900048e+00 5.835664408625987e-02
-1.638000e+00 -5.830829901565572e+00 5.836777438036484e-02
-1.637000e+00 -5.833242673233370e+00 5.837883920002588e-02
-1.636000e+00 -5.835651483382113e+00 5.838983888792907e-02
-1.635000e+00 -5.838056347475890e+00 5.840077378278147e-02
-1.634000e+00 -5.840457280966619e+00 5.841164421931176e-02
-1.633000e+00 -5.842854299296483e+00 5.842245052826906e-02
-1.632000e+00 -5.845247417900353e+00 5.843319303642166e-02
-1.631000e+00 -5.847636652208384e+00 5.844387206655245e-02
-1.630000e+00 -5.850022017648547e+00 5.845448793745561e-02
-1.629000e+00 -5.852403529649338e+00 5.846504096392888e-02
-1.628000e+00 -5.854781203642444e+00 5.847553145676702e-02
-1.627000e+00 -5.857155055065503e+00 5.848595972275274e-02
-1.626000e+00 -5.859525099364988e+00 5.849632606464585e-02
-1.625000e+00 -5.861891351999068e+00 5.850663078117113e-02
-1.624000e+00 -5.864253828440619e+00 5.851687416700497e-02
-1.623000e+00 -5.866612544180223e+00 5.852705651276094e-02
-1.622000e+00 -5.868967514729358e+00 5.853717810497117e-02
-1.621000e+00 -5.871318755623531e+00 5.854723922606988e-02
-1.620000e+00 -5.873666282425679e+00 5.855724015437045e-02
-1.619000e+00 -5.876010110729410e+00 5.856718116404634e-02
-1.618000e+00 -5.878350256162534e+00 5.857706252510563e-02
-1.617000e+00 -5.880686734390655e+00 5.858688450336486e-02
-1.616000e+00 -5.883019561120726e+00 5.859664736042267e-02
-1.615000e+00 -5.885348752104917e+00 5.860635135362843e-02
-1.614000e+00 -5.887674323144350e+00 5.861599673605274e-02
-1.613000e+00 -5.889996290093191e+00 5.862558375645047e-02
-1.612000e+00 -5.892314668862598e+00 5.863511265922804e-02
-1.611000e+00 -5.894629475425023e+00 5.864458368440285e-02
-1.610000e+00 -5.896940725818442e+00 5.865399706756345e-02
-1.609000e+00 -5.899248436150852e+00 5.866335303982651e-02
-1.608000e+00 -5.901552622604775e+00 5.867265182779237e-02
-1.607000e+00 -5.903853301442004e+00 5.868189365349533e-02
-1.606000e+00 -5.906150489008443e+00 5.869107873435433e-02
-1.605000e+00 -5.908444201739036e+00 5.870020728311996e-02
