0.95387536e-3 2 0 0.0
-1.359400000000000e+00 -7.115565698852543e-02 2.457642042989651e+00 2.811836140657343e-03 -9.999960467809451e-01 2.432076215662009e+00
-1.361400000000000e+00 -7.209621036540595e-02 2.438224026736673e+00 2.945956057697954e-03 -9.999956606620382e-01 2.433682666639696e+00
-1.363400000000000e+00 -7.304402719885454e-02 2.419021698283616e+00 3.083304524326377e-03 -9.999952466053078e-01 2.435260774054174e+00
-1.365400000000000e+00 -7.399914041980150e-02 2.400030839361498e+00 3.223935171900933e-03 -9.999948031074999e-01 2.436808794165721e+00
-1.367400000000000e+00 -7.496158348127575e-02 2.381247333635768e+00 3.367902874148890e-03 -9.999943285990327e-01 2.438324940621857e+00
-1.369400000000000e+00 -7.593139036654586e-02 2.362667163527054e+00 3.515264008022040e-03 -9.999938214403896e-01 2.439807360515464e+00
-1.371400000000000e+00 -7.690859559747498e-02 2.344286407146862e+00 3.666076373613336e-03 -9.999932799194317e-01 2.441254149048324e+00
-1.373400000000000e+00 -7.789323424298693e-02 2.326101235344342e+00 3.820399311222927e-03 -9.999927022479228e-01 2.442663344291358e+00
-1.375400000000000e+00 -7.888534192775373e-02 2.308107908859912e+00 3.978293769553306e-03 -9.999920865580303e-01 2.444032925063137e+00
-1.377400000000000e+00 -7.988495484098802e-02 2.290302775580213e+00 4.139822317624103e-03 -9.999914308988745e-01 2.445360816847960e+00
-1.379400000000000e+00 -8.089210974547673e-02 2.272682267890878e+00 4.305049332787169e-03 -9.999907332321847e-01 2.446644879611714e+00
-1.381400000000000e+00 -8.190684398673805e-02 2.255242900122685e+00 4.474040882754882e-03 -9.999899914290040e-01 2.447882925854796e+00
-1.383400000000000e+00 -8.292919550241551e-02 2.237981266086400e+00 4.646865014361960e-03 -9.999892032644844e-01 2.449072700039629e+00
-1.385400000000000e+00 -8.395920283178310e-02 2.220894036695871e+00 4.823591630747341e-03 -9.999883664142197e-01 2.450211897839411e+00
-1.387400000000000e+00 -8.499690512553702e-02 2.203977957670114e+00 5.004292656654544e-03 -9.999874784491086e-01 2.451298157045218e+00
-1.389400000000000e+00 -8.604234215567275e-02 2.187229847317540e+00 5.189042192978793e-03 -9.999865368299312e-01 2.452329051352216e+00
-1.391400000000000e+00 -8.709555432566447e-02 2.170646594393755e+00 5.377916473884993e-03 -9.999855389026383e-01 2.453302102835676e+00
-1.393400000000000e+00 -8.815658268080254e-02 2.154225156032413e+00 5.570993967064764e-03 -9.999844818927036e-01 2.454214780390981e+00
-1.395400000000000e+00 -8.922546891869181e-02 2.137962555747381e+00 5.768355531845799e-03 -9.999833628988325e-01 2.455064493734217e+00
-1.397400000000000e+00 -9.030225540007301e-02 2.121855881499234e+00 5.970084508433371e-03 -9.999821788866851e-01 2.455848595654474e+00
-1.399400000000000e+00 -9.138698515975548e-02 2.105902283828368e+00 6.176266707470771e-03 -9.999809266828834e-01 2.456564390457785e+00
-1.401400000000000e+00 -9.247970191784328e-02 2.090098974048158e+00 6.386990578425547e-03 -9.999796029676561e-01 2.457209129525721e+00
-1.403400000000000e+00 -9.358045009116442e-02 2.074443222498208e+00 6.602347372737440e-03 -9.999782042670579e-01 2.457780007128130e+00
-1.405400000000000e+00 -9.468927480493247e-02 2.058932356854206e+00 6.822431136854422e-03 -9.999767269458739e-01 2.458274170891655e+00
-1.407400000000000e+00 -9.580622190465124e-02 2.043563760492476e+00 7.047338850974475e-03 -9.999751671992257e-01 2.458688720069348e+00
-1.409400000000000e+00 -9.693133796827332e-02 2.028334870907093e+00 7.277170596938427e-03 -9.999735210434839e-01 2.459020703214622e+00
-1.411400000000000e+00 -9.806467031861728e-02 2.013243178176947e+00 7.512029572372692e-03 -9.999717843077892e-01 2.459267127045907e+00
-1.413400000000000e+00 -9.920626703600759e-02 1.998286223482119e+00 7.752022305709147e-03 -9.999699526236635e-01 2.459424951436346e+00
-1.415400000000000e+00 -1.003561769712396e-01 1.983461597665638e+00 7.997258734195125e-03 -9.999680214150543e-01 2.459491094489501e+00
-1.417400000000000e+00 -1.015144497587437e-01 1.968766939841628e+00 8.247852283054325e-03 -9.999659858878786e-01 2.459462437757741e+00
-1.419400000000000e+00 -1.026811358301209e-01 1.954199936044319e+00 8.503920123298404e-03 -9.999638410175323e-01 2.459335820198133e+00
-1.421400000000000e+00 -1.038562864278680e-01 1.939758317920365e+00 8.765583171853750e-03 -9.999615815378395e-01 2.459108049645991e+00
-1.423400000000000e+00 -1.050399536195029e-01 1.925439861459073e+00 9.032966277410012e-03 -9.999592019278742e-01 2.458775902328406e+00
-1.425400000000000e+00 -1.062321903118744e-01 1.911242385762871e+00 9.306198398758401e-03 -9.999566963980805e-01 2.458336123259272e+00
-1.427400000000000e+00 -1.074330502659145e-01 1.897163751851932e+00 9.585412712783197e-03 -9.999540588762694e-01 2.457785432493673e+00
-1.429400000000000e+00 -1.086425881116141e-01 1.883201861506084e+00 9.870746766993257e-03 -9.999512829924575e-01 2.457120527922327e+00
-1.431400000000000e+00 -1.098608593633830e-01 1.869354656139260e+00 1.016234266874668e-02 -9.999483620625031e-01 2.456338086977009e+00
-1.433400000000000e+00 -1.110879204357478e-01 1.855620115707089e+00 1.046034719188732e-02 -9.999452890716698e-01 2.455434773759126e+00
-1.435400000000000e+00 -1.123238286593797e-01 1.841996257645360e+00 1.076491200324924e-02 -9.999420566560656e-01 2.454407239407526e+00
-1.437400000000000e+00 -1.135686422975199e-01 1.828481135838613e+00 1.107619377706986e-02 -9.999386570842297e-01 2.453252129393546e+00
