0.95387536e-3 SEC2 3
6.900000e-01 -1.541903296732415e+00 1.043839125838777e+00 5.011060327770170e-01
6.950000e-01 -1.538575418126285e+00 1.043783606046760e+00 4.977374747337251e-01
7.000000e-01 -1.535200903115784e+00 1.043727627644559e+00 4.943219615160771e-01
7.050000e-01 -1.531778791583220e+00 1.043671221378075e+00 4.908585528525314e-01
7.100000e-01 -1.528308082760264e+00 1.043614418120944e+00 4.873462679136208e-01
7.150000e-01 -1.524787732799673e+00 1.043557248611681e+00 4.837840827080709e-01
7.200000e-01 -1.521216652155607e+00 1.043499743170854e+00 4.801709272741039e-01
7.250000e-01 -1.517593702753729e+00 1.043441931398920e+00 4.765056826474990e-01
7.300000e-01 -1.513917694930066e+00 1.043383841856344e+00 4.727871775864323e-01
7.350000e-01 -1.510187384115053e+00 1.043325501726994e+00 4.690141850302310e-01
7.400000e-01 -1.506401467236304e+00 1.043266936466330e+00 4.651854182665012e-01
7.450000e-01 -1.502558578810328e+00 1.043208169436243e+00 4.612995267781298e-01
7.500000e-01 -1.498657286689603e+00 1.043149221527707e+00 4.573550917372931e-01
7.550000e-01 -1.494696087427053e+00 1.043090110773279e+00 4.533506211098504e-01
7.600000e-01 -1.490673401214902e+00 1.043030851950898e+00 4.492845443281391e-01
7.650000e-01 -1.486587566349082e+00 1.042971456180340e+00 4.451552064840869e-01
7.700000e-01 -1.482436833163525e+00 1.042911930513937e+00 4.409608619881401e-01
7.750000e-01 -1.478219357370867e+00 1.042852277522314e+00 4.366996676310286e-01
7.800000e-01 -1.473933192736802e+00 1.042792494876322e+00 4.323696749762614e-01
7.850000e-01 -1.469576283004620e+00 1.042732574925160e+00 4.279688219999956e-01
7.900000e-01 -1.465146452973721e+00 1.042672504271292e+00 4.234949238823540e-01
7.950000e-01 -1.460641398621006e+00 1.042612263341173e+00 4.189456628384618e-01
8.000000e-01 -1.456058676136332e+00 1.042551825951090e+00 4.143185768598743e-01
8.050000e-01 -1.451395689722186e+00 1.042491158866639e+00 4.096110472155223e-01
8.100000e-01 -1.446649677982651e+00 1.042430221353408e+00 4.048202845355757e-01
8.150000e-01 -1.441817698696678e+00 1.042368964715797e+00 3.999433132712123e-01
8.200000e-01 -1.436896611734439e+00 1.042307331820899e+00 3.949769542867919e-01
8.250000e-01 -1.431883059831796e+00 1.042245256602160e+00 3.899178052960462e-01
8.300000e-01 -1.426773446884626e+00 1.042182663538008e+00 3.847622188005769e-01
8.350000e-01 -1.421563913359758e+00 1.042119467098481e+00 3.795062771227292e-01
8.400000e-01 -1.416250308339251e+00 1.042055571153245e+00 3.741457640450085e-01
8.450000e-01 -1.410828157616005e+00 1.041990868331635e+00 3.686761324675938e-01
8.500000e-01 -1.405292627135702e+00 1.041925239325493e+00 3.630924673725465e-01
8.550000e-01 -1.399638480926270e+00 1.041858552123762e+00 3.573894432283595e-01
8.600000e-01 -1.393860032461953e+00 1.041790661165977e+00 3.515612747730386e-01
8.650000e-01 -1.387951088162684e+00 1.041721406400799e+00 3.456016598666381e-01
8.700000e-01 -1.381904881413854e+00 1.041650612233771e+00 3.395037127876232e-01
8.750000e-01 -1.375713995084096e+00 1.041578086346396e+00 3.332598859377591e-01
8.800000e-01 -1.369370269987710e+00 1.041503618366861e+00 3.268618773887032e-01
8.850000e-01 -1.362864696039574e+00 1.041426978370337e+00 3.203005210022532e-01
8.900000e-01 -1.356187281921128e+00 1.041347915184112e+00 3.135656549253404e-01
8.950000e-01 -1.349326897826028e+00 1.041266154471776e+00 3.066459630096882e-01
9.000000e-01 -1.342271084151851e+00 1.041181396566313e+00 2.995287820005682e-01
9.050000e-01 -1.335005816654688e+00 1.041093314021426e+00 2.921998649887422e-01
9.100000e-01 -1.327515215292778e+00 1.041001548850991e+00 2.846430883283967e-01
9.150000e-01 -1.319781179301492e+00 1.040905709421751e+00 2.768400845362656e-01
9.200000e-01 -1.311782924256343e+00 1.040805366976199e+00 2.687697769073708e-01
